Taxon	Pathway	KOs present (%)	Species within present KOs (% all species in this taxon)	KOs total	Species total
k__Bacteria,p__Actinobacteria	ko00790	40.7	35.15	54.0	15.0
k__Bacteria,p__Actinobacteria	ko00760	27.0	39.72	89.0	15.0
k__Bacteria,p__Actinobacteria	ko00730	54.5	50.37	33.0	15.0
k__Bacteria,p__Actinobacteria	ko00830	6.2	17.78	48.0	15.0
k__Bacteria,p__Actinobacteria	ko00770	48.6	61.85	37.0	15.0
k__Bacteria,p__Actinobacteria	ko00780	39.1	48.15	23.0	15.0
k__Bacteria,p__Actinobacteria	ko00785	75.0	26.67	4.0	15.0
k__Bacteria,p__Actinobacteria	ko00750	30.4	57.14	23.0	15.0
k__Bacteria,p__Actinobacteria	ko00130	26.8	38.22	56.0	15.0
k__Bacteria,p__Actinobacteria	ko00740	19.0	45.0	42.0	15.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00790	24.1	100.0	54.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00760	11.2	100.0	89.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00730	27.3	100.0	33.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00830	0.0	0.0	48.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00770	37.8	100.0	37.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00780	43.5	100.0	23.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00785	50.0	100.0	4.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00750	21.7	100.0	23.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00130	14.3	100.0	56.0	1.0
